german_word,frequency,translation
ich,5890279,I
sie,3806767,she
das,3122198,the
ist,3025610,is
du,2947020,you
nicht,2756783,not
die,2484854,the
es,2303025,it
und,2289891,and
der,1726001,the
wir,1721620,we
was,1696010,What
zu,1424706,to
er,1352161,he
ein,1315301,a
in,1231372,in
ja,1054114,Yes
mir,1019451,me
mit,1014541,with
wie,928920,How
den,920646,the
mich,893076,me
auf,881418,on
dass,879520,that
aber,854492,but
eine,839485,one
so,813903,so
hat,799017,has
hier,754243,here
haben,742327,have
für,735252,for
sind,727078,are
war,712337,was
von,706490,from
wenn,694462,if
dich,688780,you
ihr,655351,her
nein,641479,no
habe,636175,have
an,627600,to
bin,576589,am
noch,572486,still
nur,564245,only
da,564244,there
dir,554802,you
sich,533395,itself
einen,532402,a
uns,523604,us
hast,511491,have
dem,465044,dem
kann,461755,can
gut,452726,good
auch,449250,also
schon,442343,already
als,440490,as
sein,440142,be
mal,435631,just
jetzt,435411,now
ihn,435147,him
dann,429424,then
aus,425184,out of
meine,420280,mine
um,417759,to
im,403737,in the
wird,394216,becomes
mein,384765,my
bist,381498,are
doch,381456,but
alles,366575,everything
weiß,357869,white
keine,349315,no
oder,341214,or
nach,326208,after
s,309957,s
nichts,308672,nothing
man,300922,one
muss,295567,must
werden,294676,become
will,293445,wants
ihnen,292370,them
geht,290919,goes
wo,288363,where
etwas,286968,something
oh,284455,Oh
mehr,281301,more
bei,277087,at
also,276548,so
bitte,261548,please
immer,260238,always
hab,252697,have
warum,251177,Why
vor,247840,before
los,242543,go
können,240905,can
wieder,240508,again
sagen,236702,say
machen,228412,make
danke,227937,Thanks
sehr,226425,very
alle,224850,all
denn,224543,because
mann,222707,man
tun,219102,do
ihm,217025,him
zum,216201,for the
gehen,213952,go
sehen,212948,see
vielleicht,212216,perhaps
einem,210889,a
wer,210823,who
ihre,208915,her
diese,208607,this
euch,206931,you
einer,202097,one
komm,201117,come
über,196855,above
gibt,196771,gives
okay,196683,OK
wissen,192456,knowledge
deine,191923,your
müssen,191257,must
soll,191100,should
werde,187290,become
nie,185925,never
wirklich,185166,really
hey,185011,hey
kein,177553,no
viel,176767,much
weg,175124,away
würde,175047,would
tut,172752,does
am,170913,on
des,169182,of the
einfach,168892,simply
